SSID,BSSID,Capabilities
2WIRE919,28:16:2e:a3:ae:51,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
NETGEAR16-5G,6c:b0:ce:3d:df:21,[WPA2-PSK-CCMP][WPS][ESS]
2WIRE799,b0:e7:54:59:c0:79,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
NETGEAR89,e8:fc:af:97:c6:83,[WPA2-PSK-CCMP][WPS][ESS]
YEEEE,20:aa:4b:a8:ce:30,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS]
NETGEAR19-5G,44:94:fc:3b:2b:ad,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi95-2G,c4:04:15:1f:80:95,[WPA2-PSK-CCMP][WPS][ESS]
2WIRE565,00:22:a4:8d:f4:09,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
MyCharterWiFi5b-5G,6c:b0:ce:43:a4:5a,[WPA2-PSK-CCMP][WPS][ESS]
2WIRE328,b8:e6:25:fb:a3:49,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
quietwhale,c0:3f:0e:67:4e:f4,[WPA2-PSK-CCMP][WPS][ESS]
2WIRE573,74:9d:dc:cf:cf:d9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
MyCharterWiFi64-2G,08:bd:43:c2:ee:64,[WPA2-PSK-CCMP][WPS][ESS]
CharterWiFie490,2c:b0:5d:e8:72:6f,[WPA2-PSK-CCMP][ESS]
Sugar Tits,00:11:95:79:d2:28,[WPA-PSK-TKIP][ESS]
Efcie_Wireless,e8:94:f6:a3:13:78,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS]
WiFiRSU_a6d5a,20:10:7a:e8:7b:81,[WPA2-PSK-CCMP][ESS]
Concealed Industries.media,b4:75:0e:24:41:58,[WPA2-PSK-CCMP][WPS][ESS]
CHARTERwifi,04:a1:51:81:8c:f9,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR12,44:94:fc:7f:5c:e6,[WPA2-PSK-CCMP][ESS]
belkin.586,08:86:3b:f1:55:86,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi72-2G,6c:b0:ce:b4:dc:72,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR16,6c:b0:ce:3d:df:22,[WPA2-PSK-CCMP][WPS][ESS]
ATT939,60:fe:20:1c:3c:ca,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
NETGEAR22,04:a1:51:a2:e2:95,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi72-5G,6c:b0:ce:b4:dc:71,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi5b-2G,6c:b0:ce:43:a4:5b,[WPA2-PSK-CCMP][WPS][ESS]
2WIRE668,94:c1:50:39:9c:e9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
NETGEAR03,04:a1:51:ab:6d:36,[WPA2-PSK-CCMP][ESS]
NETGEAR03-5G,04:a1:51:ab:6d:38,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR42,44:94:fc:8d:14:cb,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR95,84:1b:5e:39:29:ad,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi73-2G,6c:b0:ce:b7:ad:73,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR65,04:a1:51:86:52:da,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR22-5G,04:a1:51:a2:e2:97,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi6e-2G,6c:b0:ce:44:91:6e,[WPA2-PSK-CCMP][WPS][ESS]
ATT3b4d235,8c:7f:3b:3b:29:c0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
Fblthp,60:fe:20:03:40:8e,[WPA2-PSK-CCMP][ESS]
NETGEAR15,04:a1:51:9b:df:84,[WPA2-PSK-CCMP][WPS][ESS]
ATT623,60:fe:20:09:dc:22,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
Minions,ec:1a:59:a5:09:78,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi45-5G,6c:b0:ce:44:84:44,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi73-5G,6c:b0:ce:b7:ad:72,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR10,e4:f4:c6:e6:aa:55,[WPA2-PSK-CCMP][WPS][ESS]
HPE710n.8246E7,02:2a:2a:9f:e5:9d,[IBSS]
Danh's Wi-Fi Network,00:19:e3:fa:dc:6c,[WPA2-PSK-CCMP][ESS]
2WIRE729,00:23:51:17:f3:01,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
HP-Print-B0-Officejet 6600,6c:3b:e5:00:af:b0,[WPA2-PSK-CCMP][ESS]
ATT9s3A7g7,dc:45:17:bd:8c:d0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
Beast,ec:1a:59:06:d2:66,[WPA2-PSK-CCMP][WPS][ESS]
HERMOSILLENSE_GUEST,e6:f4:c6:0e:5b:10,[WPA2-PSK-CCMP][ESS]
HERMOSILLENSE,e4:f4:c6:0e:5b:1f,[WPA2-PSK-CCMP][WPS][ESS]
2WIRE300,74:9d:dc:02:c8:01,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
Cherry on Top,e4:71:85:10:52:54,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
HP-Print-11-Photosmart 5520,d8:9d:67:bd:02:11,[WPA2-PSK-CCMP][ESS]
NETGEAR46-5G,e4:f4:c6:0e:5b:1e,[WPA2-PSK-CCMP][WPS][ESS]
ATT2D6U5n9,8c:7f:3b:5d:b0:90,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
MyCharterWiFi02-2G,6c:b0:ce:32:70:02,[WPA2-PSK-CCMP][WPS][ESS]
belkin.1d1,ec:1a:59:a7:d1:d1,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR00,9c:d3:6d:b1:ac:3a,[WPA2-PSK-CCMP][WPS][ESS]
wadsworth,00:22:3f:32:a6:58,[WPA-PSK-TKIP][ESS]
NETGEAR01,04:a1:51:ab:87:9d,[WPA2-PSK-CCMP][WPS][ESS]
DIRECT-roku-B498EC,dc:3a:5e:46:6d:5b,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR01-5G,04:a1:51:ab:87:9f,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi38-2G,04:a1:51:d8:06:38,[WPA2-PSK-CCMP][WPS][ESS]
teammoses,98:fc:11:f3:02:a3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS]
ATT9z8Z8y8,8c:7f:3b:49:07:70,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
NETGEAR52,04:a1:51:96:c8:07,[WPA2-PSK-CCMP][ESS]
ATT776C8i7,40:b7:f3:48:94:f0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
MyCharterWiFia5-2G,c4:04:15:a1:13:a5,[WPA2-PSK-CCMP][ESS]
DIRECT-roku-2378AE,dc:3a:5e:15:0c:b3,[WPA2-PSK-CCMP][WPS][ESS][P2P]
ATTyxtJ9MS,94:62:69:09:10:d0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
MyCharterWiFi63-5G,6c:b0:ce:a3:d7:62,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi29-5G,6c:b0:ce:b6:36:28,[WPA2-PSK-CCMP][WPS][ESS]
