SSID,BSSID,Capabilities,frequency
chiapet,20:e5:2a:25:3e:10,[WPA2-PSK-CCMP][WPS][ESS],5745
2WIRE488,00:25:3c:5d:29:a9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2447
NETGEAR04-5G,6c:b0:ce:40:60:f6,[WPA2-PSK-CCMP][WPS][ESS],5765
Kaurz91,e8:de:27:96:93:b5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2452
belkin.090.5GHz,08:86:3b:d7:70:92,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],5240
Wall-E,20:e5:2a:25:3e:11,[WPA2-PSK-CCMP][WPS][ESS],2437
American Donuts,22:e5:2a:25:3e:12,[WPA2-PSK-CCMP][ESS],2437
ChiefEnvy-5G,e8:fc:af:9f:f7:fd,[WPA2-PSK-CCMP][WPS][ESS],5765
J7GX3,00:21:63:5f:74:c6,[WEP][ESS],2462
2WIRE012,00:25:3c:35:b3:b1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2442
home mom,00:18:f8:79:4f:16,[WPA-PSK-TKIP][ESS],2437
MyCharterWiFi1b-5G,e8:fc:af:9b:aa:1a,[WPA2-PSK-CCMP][WPS][ESS],5765
Cisco_D47058BD,f4:5f:d4:70:58:be,[WPA2-PSK-CCMP][WPS][ESS],5180
ATT896Q599,8c:7f:3b:39:d9:00,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
MyCharterWiFi1b-2G,e8:fc:af:9b:aa:1b,[WPA2-PSK-CCMP][WPS][ESS],2437
Cisco_9614A0B1,68:ee:96:14:a0:b1,[WPA2-PSK-CCMP][WPS][ESS],5805
NETGEAR27,84:1b:5e:d9:5b:a8,[WPA2-PSK-CCMP][WPS][ESS],2452
2WIRE919,28:16:2e:a3:ae:51,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2452
NETGEAR16-5G,6c:b0:ce:3d:df:21,[WPA2-PSK-CCMP][WPS][ESS],5765
2WIRE799,b0:e7:54:59:c0:79,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
NETGEAR89,e8:fc:af:97:c6:83,[WPA2-PSK-CCMP][WPS][ESS],2457
