SSID,BSSID,Capabilities,frequency
belkin.b3e.media,b4:75:0e:23:8b:40,[WPA2-PSK-CCMP][WPS][ESS],5180
MyCharterWiFie9-5G,e8:fc:af:a7:93:e8,[WPA2-PSK-CCMP][WPS][ESS],5765
ATT802,60:c3:97:dd:82:7e,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
belkin.288.media,b4:75:0e:2c:92:8a,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],5180
belkin.c28,08:86:3b:10:7c:28,[WPA2-PSK-CCMP][WPS][ESS],2412
NETGEAR53,6c:b0:ce:36:38:bc,[WPA2-PSK-CCMP][WPS][ESS],2462
Onelove,74:9d:dc:90:87:89,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2422
2WIRE579,00:23:51:c1:68:d1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
2WIRE567,34:ef:44:90:b5:81,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2422
belkin.b3e.guests,b4:75:0e:23:8b:41,[ESS],2432
belkin.c28.guests,0a:86:3b:10:7c:29,[WPS][ESS],2412
MyCharterWiFie9-2G,e8:fc:af:a7:93:e9,[WPA2-PSK-CCMP][WPS][ESS],2462
the turn up function,ec:1a:59:6c:13:3a,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2432
NETGEAR25,e8:fc:af:a7:49:a6,[WPA2-PSK-CCMP][WPS][ESS],2437
belkin.288.guests,b4:75:0e:2c:92:8b,[ESS],2457
ATTaDAUn6a,94:62:69:39:62:00,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
KAP2,00:1d:e5:80:b3:30,[WPA-PSK-TKIP][ESS],2457
ATT933,60:fe:20:18:75:f2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
Ultimate Grand Marc Experience,44:94:fc:3b:2b:ae,[WPA2-PSK-CCMP][WPS][ESS],2442
Cisco_7DF0B112,24:76:7d:f0:b1:13,[WPA2-PSK-CCMP][WPS][ESS],5785
ATT2F5yVqs,78:96:84:82:50:c0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
ATTMf2Vufi,94:62:69:74:d6:90,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
MyCharterWiFi30-5G,c4:04:15:0e:bf:2f,[WPA2-PSK-CCMP][WPS][ESS],5765
NETGEAR37,c4:04:15:4c:26:95,[WPA2-PSK-CCMP][WPS][ESS],2427
belkin.156.guests,b4:75:0e:24:41:59,[ESS],2412
CiscoA1247,58:6d:8f:11:3f:fe,[WPS][WEP][ESS],2462
TP-LINK_C51F58,e8:94:f6:c5:1f:58,[WPA2-PSK-CCMP][WPS][ESS],2417
Lollicup,c4:6e:1f:7e:aa:32,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2447
TP-LINK_BC221A,e8:de:27:bc:22:1a,[WPA2-PSK-CCMP][WPS][ESS],2442
Yolo,e8:de:27:b8:60:76,[WPA2-PSK-CCMP][WPS][ESS],2462
Queens' Lair,e8:de:27:f6:b4:68,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2412
justkeepswimming,c0:3f:0e:94:22:0a,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
TP-LINK_382C94,c4:6e:1f:38:2c:94,[WPA2-PSK-CCMP][WPS][ESS],2452
belkin.9c8,08:86:3b:f0:79:c8,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2442
Mini,00:50:7f:cd:df:54,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
Waifu over Wifi,00:26:5a:fc:de:5e,[WPS][WEP][ESS],2417
Concealed Industries,b4:75:0e:24:41:56,[WPA2-PSK-CCMP][WPS][ESS],2412
NETGEAR62-5G,04:a1:51:15:f5:df,[WPA2-PSK-CCMP][WPS][ESS],5240
NETGEAR20,04:a1:51:c1:2d:f8,[WPA2-PSK-CCMP][WPS][ESS],2462
NETGEAR410,e0:91:f5:85:d0:fe,[WPA2-PSK-CCMP][WPS][ESS],2462
DOCH,5c:d9:98:64:6a:e6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
insta : C7RS.guests,96:10:3e:38:19:d2,[ESS],2412
AquaDeer,c8:d7:19:07:81:d3,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],2412
NETGEAR-T,e8:fc:af:a3:97:30,[WPA2-PSK-CCMP][WPS][ESS],2437
HERMOSILLENSE-5G,e4:f4:c6:13:61:73,[WPA2-PSK-CCMP][WPS][ESS],5765
CAMPKMAN,48:f8:b3:57:3a:f0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
MyCharterWiFi05-2G,6c:b0:ce:a7:dc:05,[WPA2-PSK-CCMP][WPS][ESS],2462
Stalin Is My Copilot,10:0d:7f:6e:34:5c,[WPA2-PSK-CCMP][WPS][ESS],2462
TOKIDOKI,c8:be:19:6b:ab:c0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],5180
Penguin,ec:1a:59:80:41:98,[WPA2-PSK-CCMP][WPS][ESS],2462
belkin.412,ec:1a:59:66:64:12,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2457
WhyPhy-N,00:22:3f:78:48:a5,[WPA2-PSK-CCMP][WPS][ESS],5220
Hadleyville-5G,6c:b0:ce:30:c5:67,[WPA2-PSK-CCMP][WPS][ESS],5765
finger ecstasy,c8:be:19:6e:d2:f4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][WPS][ESS],2457
WuTangLAN,ec:1a:59:26:97:e2,[WPA2-PSK-CCMP][WPS][ESS],5220
FriendlyNeighborhoodSpiderLAN,ec:1a:59:26:97:e0,[WPA2-PSK-CCMP][WPS][ESS],2412
Shin-Ra Inc.-5G,04:a1:51:90:aa:c3,[WPA2-PSK-CCMP][WPS][ESS],5180
pbazero999,10:c3:7b:a3:00:b4,[WPA2-PSK-CCMP][ESS],5785
belkin.baa,ec:1a:59:5c:fb:aa,[WPA2-PSK-CCMP][WPS][ESS],2432
MyCharterWiFibf-5G,6c:b0:ce:a2:d4:be,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi6f-2G,6c:b0:ce:a3:d7:6f,[WPA2-PSK-CCMP][WPS][ESS],2412
ATT921,64:0f:28:cf:51:3e,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
BroOppahs,08:86:3b:22:16:bc,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2412
MyCharterWiFi5d-2G,6c:b0:ce:a7:de:5d,[WPA2-PSK-CCMP][WPS][ESS],2412
coolbeans,00:1c:df:f9:39:06,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
MyCharterWiFiac-5G,6c:b0:ce:a8:e7:ab,[WPA2-PSK-CCMP][WPS][ESS],5765
RJV,14:35:8b:0e:05:10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
RAMSES,c0:4a:00:77:bd:f0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2427
GL,08:86:3b:2d:74:fa,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2412
starmando,14:35:8b:0d:a0:3c,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
belkin.00a,b4:75:0e:24:10:0a,[WPA2-PSK-CCMP][WPS][ESS],2412
BRISHTI,00:19:9d:4c:58:59,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2437
JasLabNetwork,c0:4a:00:59:17:ec,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2462
HP-Print-db-LaserJet 400 M401dw,08:ed:b9:5a:e5:db,[ESS],2437
360WiFi-1147,68:94:23:18:41:93,[WPA2-PSK-CCMP][ESS],2412
Dell_device,0e:3e:2c:18:9f:3a,[IBSS],2457
NETGEAR81,28:c6:8e:a6:02:38,[WPA2-PSK-CCMP][WPS][ESS],2462
kaizen,00:24:6c:ad:a2:a0,[WPA2-PSK-CCMP+TKIP][ESS],2437
CatalinaHQ,00:24:6c:ad:a2:a2,[WPA-EAP-TKIP][WPA2-EAP-CCMP][ESS],2437
Coco's Free Wi-Fi,00:24:6c:ad:a2:a1,[ESS],2437
HP-Print-DB-Deskjet 3510 series,2c:44:fd:bd:b5:db,[ESS],2437
30847-5G,04:a1:51:2b:e1:b0,[WPA2-PSK-CCMP][WPS][ESS],5765
tomhome,00:23:69:06:d5:01,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
30847-HH,04:a1:51:2b:e1:b1,[WPA2-PSK-CCMP][WPS][ESS],2412
FREE WIFI?! good joke XD,48:f8:b3:90:3a:51,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],2462
Cucharayu,68:7f:74:05:b0:65,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
Motel 6 UCR,c0:8a:de:1e:c6:28,[ESS],2412
ATT752,b0:77:ac:ee:c8:20,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
RENEE,e8:de:27:bc:08:68,[WPA2-PSK-CCMP][WPS][ESS],2422
NOAH,b4:75:0e:88:06:c8,[WPS][WEP][ESS],2462
HiWiFi_13651C,d4:ee:07:13:65:1c,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2437
FUCK.UCR,d4:ee:07:1c:44:24,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2452
home,00:21:29:97:da:65,[WPA-PSK-CCMP][WPS][ESS],2437
Airwave,c0:8a:de:39:23:38,[ESS],2447
Piadamore,7c:bf:b1:32:4c:10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
BapaNet,20:aa:4b:a4:76:c2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
FUCK.UCR_5G,d0:ee:07:1c:44:24,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],5745
MadoHomu,48:f8:b3:45:ae:17,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
TP-LINK_CDFC20,e8:de:27:cd:fc:20,[WPA2-PSK-CCMP][WPS][ESS],2432
:^),ec:1a:59:48:6b:64,[WPA2-PSK-CCMP][WPS][ESS],2462
versace,48:f8:b3:39:c8:d2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2422
Internet,c8:d7:19:a4:60:f4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
FancyMagnolia,68:7f:74:95:dc:3b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
Dulce's Wi-Fi,f8:1a:67:6f:96:f4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
NETGEAR31-5G,04:a1:51:1f:d8:3a,[WPA2-PSK-CCMP][WPS][ESS],5765
papanet,6c:b0:ce:3e:76:4d,[WPA2-PSK-CCMP][ESS],5765
HPJ610a.026897,02:29:c9:4e:3d:4e,[IBSS],2437
chen,20:c9:d0:c5:0d:49,[ESS],2447
The Wicked Witch,70:62:b8:2f:ac:ea,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
GucciMayne,00:18:39:98:89:68,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],2462
TwitchPlaysWifi,48:f8:b3:66:15:bc,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],2457
NETGEAR31,04:a1:51:1f:d8:3b,[WPA2-PSK-CCMP][WPS][ESS],2417
Wayneda,5c:d9:98:67:22:e0,[WPA-PSK-TKIP][WPS][ESS],2422
NETGEAR69,6c:b0:ce:2b:99:e6,[WPA2-PSK-CCMP][WPS][ESS],2462
Hobo sex dungeon,00:02:6f:5a:11:00,[WPA-PSK-TKIP][WPS][ESS],2462
HiWiFi,d4:ee:07:0e:fa:ba,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2447
belkin.615,b4:75:0e:f0:36:15,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2412
La'Quishraniqua ,e0:46:9a:89:0f:3c,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
NETGEAR50,6c:b0:ce:2f:1c:22,[WPA2-PSK-CCMP][WPS][ESS],2412
Goku No Piccolo ,00:14:a5:35:37:a6,[WPA2-PSK-CCMP][ESS],2437
`,00:22:3f:95:0c:e1,[WPA2-PSK-CCMP][ESS],2437
TRENDnet,d8:eb:97:28:8a:61,[WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
NoInnaNet Pho Yu,c8:b3:73:4d:fb:f8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
Mouse,c0:3f:0e:6d:3c:40,[WPS][WEP][ESS],2437
Carlos Contreras,c4:6e:1f:37:eb:9e,[WPA2-PSK-CCMP][WPS][ESS],2417
turtle,b4:75:0e:7a:97:46,[WPA2-PSK-CCMP][WPS][ESS],2412
Mody,c4:04:15:22:c3:5a,[WPA2-PSK-CCMP][WPS][ESS],2462
ATT2r4D4h6,dc:45:17:7d:bf:50,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
NETGEAR56,6c:b0:ce:0b:83:3e,[WPA2-PSK-CCMP][WPS][ESS],2437
ASUS,30:85:a9:8b:91:bc,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
2WIRE942,00:1a:c4:b3:38:61,[WEP][ESS],2417
Mr Brown12 new,1c:af:f7:d0:bb:63,[WPS][WEP][ESS],2437
belkin.c4e,08:86:3b:5a:0c:4e,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2422
Ramachandran,98:fc:11:4f:2f:fa,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
BliZil_ACE,c0:c1:c0:8b:ed:f3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
Fantastic4,00:23:69:c5:cb:94,[WPA2-PSK-CCMP][WPS][ESS],2437
Jasleen,c0:c1:c0:8d:9b:15,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
Slowman,88:1f:a1:44:99:8e,[WPA2-PSK-CCMP][ESS],2462
NETGEAR48,20:e5:2a:65:9c:a8,[WPA2-PSK-CCMP][WPS][ESS],2462
LosPollosHermanos,14:35:8b:0c:a7:50,[WPA-PSK-CCMP][ESS],2427
Jasleen-guest,c0:c1:c0:8d:9b:16,[ESS],2412
NETGEAR21,6c:b0:ce:29:c6:4f,[WPA2-PSK-CCMP][WPS][ESS],2412
NETGEAR54-5G,44:94:fc:3f:8e:0a,[WPA2-PSK-CCMP][WPS][ESS],5765
Get Your Own Internet,ac:7f:3e:ed:7d:7c,[WPA2-PSK-CCMP][ESS],2462
BurtAndFriends,c4:6e:1f:7f:0f:e6,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2417
belkin.56f,b4:75:0e:ee:c5:6f,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2412
NETGEAR36,10:0d:7f:71:c8:0e,[WPA2-PSK-CCMP][WPS][ESS],2422
NETGEAR-Guest,26:e5:2a:65:9c:a8,[WPA2-PSK-CCMP][ESS],2462
Password is Taco,44:94:fc:97:72:66,[WPA2-PSK-CCMP][WPS][ESS],2437
medialink,14:35:8b:0d:94:94,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
NETGEAR98,44:94:fc:8c:2b:8a,[WPA2-PSK-CCMP][WPS][ESS],2437
FancyPuppy,20:aa:4b:12:b8:7c,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
Twerk4Tuition,ec:1a:59:03:59:aa,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2427
JUSTINHUANG_Network,ac:22:0b:d3:7c:c4,[WPA2-PSK-CCMP][WPS][ESS],5785
Naruto's router,20:aa:4b:27:c6:42,[WPA2-PSK-CCMP][WPS][ESS],5785
FancyPuppy-guest,20:aa:4b:12:b8:7d,[ESS],2462
HP-nomodel.7F7C16,02:21:01:58:a1:56,[IBSS],2437
insta : C7RS,94:10:3e:38:19:d2,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2437
insta : C7RS.media,94:10:3e:38:0b:e2,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],5220
408,44:94:fc:3f:8e:0b,[WPA2-PSK-CCMP][WPS][ESS],2432
FBI Surveillance Van 2,48:f8:b3:ab:98:07,[WPA2-PSK-CCMP][WPS][ESS],2417
Meena.Riverside,b4:75:0e:26:49:18,[WPA2-PSK-CCMP][WPS][ESS],2412
ITS MINE,68:1c:a2:01:54:32,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
The Promised Lan,c4:04:15:17:5e:46,[WPA2-PSK-CCMP][WPS][ESS],2437
belkin.7e4,08:86:3b:fa:e7:e4,[WPA2-PSK-CCMP][WPS][ESS],2447
Shhhhhhh,58:6d:8f:4d:b8:a2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
NETGEAR55-5G,2c:b0:5d:2b:1d:72,[WPA2-PSK-CCMP][WPS][ESS],5765
Martinez,2c:b0:5d:2b:1d:73,[WPA2-PSK-CCMP][WPS][ESS],2432
vimal2608,94:10:3e:17:e1:82,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],5200
Bokaka-5G,4c:60:de:2a:24:ca,[WPA2-PSK-CCMP][WPS][ESS],5765
belkin.03a.media,ec:1a:59:63:10:3c,[WPA2-PSK-CCMP][WPS][ESS],5180
FBI Surveillance Van 5,48:f8:b3:ab:98:09,[WPA2-PSK-CCMP][WPS][ESS],5220
NETGEAR74-5G,6c:b0:ce:40:60:e1,[WPA2-PSK-CCMP][WPS][ESS],5765
Shhhhhhh-guest,58:6d:8f:4d:b8:a3,[ESS],2462
HP-Print-B7-ENVY 4500 series,f0:92:1c:87:c1:b7,[WPA2-PSK-CCMP][ESS],2462
American BBQ Chicken,6c:b0:ce:26:7e:70,[WPA2-PSK-CCMP][WPS][ESS],2462
WHATUPBRUH,28:10:7b:ef:9e:e4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
Welcome To Vegas,68:7f:74:b7:02:1e,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
CamilleD,ec:1a:59:ab:84:c7,[WPA2-PSK-CCMP][WPS][ESS],2437
bluemountain,68:7f:74:c8:be:b5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
NETGEAR46,20:0c:c8:17:62:c2,[WPA2-PSK-CCMP][WPS][ESS],2462
webster,00:11:50:0d:d8:55,[WEP][ESS],2462
Cisco23961-guest,96:10:3e:17:e1:80,[ESS],2412
bluemountain-guest,68:7f:74:c8:be:b6,[ESS],2462
WIFI SUCKS (/ T__T)/  |____|,58:6d:8f:91:e9:a8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
Thugnasty69,08:86:3b:f0:6d:14,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2412
sohnmbp,f8:d1:11:5b:6e:38,[WPA2-PSK-TKIP][ESS],2437
solitude,60:a4:4c:d3:b6:c0,[WPA2-PSK-CCMP][WPS][ESS],2462
belkin.3e5,ec:1a:59:a8:33:e5,[WPA2-PSK-CCMP][WPS][ESS],2462
XtraClip4TheJohnnies,ec:1a:59:24:67:a0,[WPA2-PSK-CCMP][WPS][ESS],5180
HogwartsExpress,48:d7:05:ee:c7:62,[WPA2-PSK-CCMP][ESS],2412
Supanita,48:f8:b3:38:b4:af,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
NETGEAR95-5G,84:1b:5e:39:29:ac,[WPA2-PSK-CCMP][WPS][ESS],5180
sjsha_000,90:72:40:11:95:24,[WPA2-PSK-CCMP][ESS],2462
belkin.268.media,ec:1a:59:a3:b2:6a,[WPA2-PSK-CCMP][WPS][ESS],5785
TP-LINK_E04E00,ec:17:2f:e0:4e:00,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2412
MyCharterWiFi23-5G,6c:b0:ce:b5:98:22,[WPA2-PSK-CCMP][WPS][ESS],5765
belkin.064.media,94:10:3e:54:d0:66,[WPA2-PSK-CCMP][WPS][ESS],5200
charles wifi,90:f6:52:48:4c:8c,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2452
Gabrielle,b0:48:7a:20:f5:8a,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2462
Belkin_N+_623F64,00:22:75:62:3f:64,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2412
Belkin_088ADA,08:86:3b:08:8a:da,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
Aegis,00:13:10:ec:8a:f4,[WPA-PSK-TKIP][ESS],2437
Suss,00:26:bb:77:ee:52,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],5785
2WIRE692,3c:ea:4f:8e:5b:51,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
305witDaBBC,6c:b0:ce:26:57:dc,[WPA2-PSK-CCMP][WPS][ESS],2462
NETGEAR85,04:a1:51:ab:8f:41,[WPA2-PSK-CCMP][ESS],2442
Hobo Sex Dungeon,00:12:17:b0:ee:d4,[WPA-PSK-TKIP][ESS],2437
Touch My Body,e8:de:27:d8:79:fa,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2412
Tobunga,14:35:8b:05:b6:88,[WPA2-PSK-CCMP][WPS][ESS],2432
CoolNetwork,e8:fc:af:9f:f8:1f,[WPA2-PSK-CCMP][WPS][ESS],2412
NETGEAR-DualBand-N,30:46:9a:89:81:42,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],5220
Chinamen,00:0f:66:d1:f5:56,[WPA-PSK-TKIP][ESS],2437
NETGEAR86-5G,04:a1:51:81:61:00,[WPA2-PSK-CCMP][WPS][ESS],5765
Palace of bitches,94:44:52:d6:e6:c0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
IE. Corp,04:a1:51:a8:5e:ae,[WPA2-PSK-CCMP][WPS][ESS],2452
Hide yo kids hide yo wifi-5G,84:1b:5e:43:43:99,[WPA2-PSK-CCMP][WPS][ESS],5765
TeLaMetieron,20:4e:7f:1f:78:0c,[WPA2-PSK-CCMP][WPS][ESS],2412
2WIRE618,74:9d:dc:08:3e:f9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2447
TeLaMetieron-5G,20:4e:7f:1f:78:0b,[WPA2-PSK-CCMP][WPS][ESS],5765
Cisco_0FCA9334,18:55:0f:ca:93:35,[WPA2-PSK-CCMP][WPS][ESS],5785
belkin.080.guests,b4:75:0e:2b:c0:83,[ESS],2417
AndroidAP,60:21:c0:bb:1d:6c,[WPA2-PSK-CCMP][ESS],2437
DanaFawaz,b4:75:0e:2b:c0:80,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2417
NETGEAR15-5G,04:a1:51:9b:df:86,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi58-5G,6c:b0:ce:9c:67:57,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFif1-2G,6c:b0:ce:44:8f:f1,[WPA2-PSK-CCMP][WPS][ESS],2462
2WIRE948,94:c1:50:50:a4:61,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2447
MyCharterWiFi0b-2G,04:a1:51:d8:06:0b,[WPA2-PSK-CCMP][WPS][ESS],2412
MyCharterWiFi58-2G,6c:b0:ce:9c:67:58,[WPA2-PSK-CCMP][WPS][ESS],2462
RainyDays,00:22:75:62:49:14,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
ATTeimrrCI,78:96:84:19:9f:70,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
Tixtla1810-guest,58:6d:8f:a2:bd:72,[ESS],2437
Jamal Wifi,ec:1a:59:86:d4:f3,[WPA2-PSK-CCMP][WPS][ESS],2412
2WIRE191,00:22:a4:ef:05:59,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2452
2WIRE075,00:24:56:82:b0:d9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
Mukaka,4c:60:de:2a:24:cb,[WPA2-PSK-CCMP][WPS][ESS],2462
2WIRE723,00:24:56:a4:92:39,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2427
MyCharterWiFif1-5G,6c:b0:ce:44:8f:f0,[WPA2-PSK-CCMP][WPS][ESS],5765
peanut,00:18:39:f4:e1:2f,[WEP][ESS],2437
TMF,70:56:81:ca:d3:65,[WPA2-PSK-CCMP][ESS],2457
NETGEAR79,06:a1:51:d1:cf:e7,[WPA2-PSK-CCMP][WPS][ESS],2412
Tixtla1810,58:6d:8f:a2:bd:70,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437
Office54g,00:1c:df:18:74:d2,[WPA-PSK-TKIP][ESS],2412
NETGEAR79-5G,06:a1:51:d1:cf:e6,[WPA2-PSK-CCMP][WPS][ESS],5765
Sonne-5G,c4:04:15:14:8f:a3,[WPA2-PSK-CCMP][WPS][ESS],5765
EliteAthletes,c8:b3:73:4e:d3:e0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462
MyCharterWiFi15-2G,e8:fc:af:9b:92:15,[WPA2-PSK-CCMP][WPS][ESS],2462
ATT544,60:fe:20:0d:d0:8a,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
belkin.aa4.media,94:10:3e:6c:8a:a6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],5180
Identity-Theft-System-3,48:f8:b3:00:3d:a6,[WPA2-PSK-CCMP][WPS][ESS],2437
2WIRE859,28:16:2e:a3:82:d1,[WPS][WEP][ESS],2437
MyCharterWiFi64-5G,08:bd:43:c2:ee:66,[WPA2-PSK-CCMP][WPS][ESS],5765
DIRECT-roku-95AED4,dc:3a:5e:47:32:d7,[WPA2-PSK-CCMP][WPS][ESS][P2P],2437
